ID	Nome	Depart.	Tempo	Número da máquina	
13		Not Set1	 06/06/2025     12:01:43	1
3		Not Set1	 06/06/2025     12:01:52	1
11		Not Set1	 06/06/2025     12:02:00	1
13		Not Set1	 06/06/2025     12:58:14	1
11		Not Set1	 06/06/2025     12:58:20	1
14		Not Set1	 06/06/2025     12:58:37	1
10		Not Set1	 06/06/2025     12:58:44	1
4		Not Set1	 06/06/2025     12:58:55	1
9		Not Set1	 06/06/2025     13:00:00	1
3		Not Set1	 06/06/2025     13:00:48	1
7		Not Set1	 06/06/2025     13:11:26	1
3		Not Set1	 06/06/2025     16:00:15	1
13		Not Set1	 06/06/2025     16:00:24	1
4		Not Set1	 06/06/2025     16:00:30	1
14		Not Set1	 06/06/2025     16:00:37	1
7		Not Set1	 06/06/2025     16:00:43	1
11		Not Set1	 06/06/2025     16:00:56	1
9		Not Set1	 06/06/2025     16:01:10	1
10		Not Set1	 06/06/2025     16:02:20	1
4		Not Set1	 09/06/2025     06:54:22	1
10		Not Set1	 09/06/2025     06:54:45	1
13		Not Set1	 09/06/2025     06:54:53	1
14		Not Set1	 09/06/2025     06:55:01	1
11		Not Set1	 09/06/2025     06:55:33	1
9		Not Set1	 09/06/2025     06:56:07	1
3		Not Set1	 09/06/2025     06:59:20	1
7		Not Set1	 09/06/2025     11:58:21	1
9		Not Set1	 09/06/2025     12:00:57	1
14		Not Set1	 09/06/2025     12:01:55	1
4		Not Set1	 09/06/2025     12:02:15	1
11		Not Set1	 09/06/2025     12:02:20	1
3		Not Set1	 09/06/2025     12:02:25	1
13		Not Set1	 09/06/2025     12:02:36	1
10		Not Set1	 09/06/2025     12:02:48	1
13		Not Set1	 09/06/2025     12:54:59	1
4		Not Set1	 09/06/2025     12:55:39	1
10		Not Set1	 09/06/2025     12:56:03	1
3		Not Set1	 09/06/2025     12:58:35	1
9		Not Set1	 09/06/2025     12:58:45	1
11		Not Set1	 09/06/2025     12:59:05	1
14		Not Set1	 09/06/2025     12:59:20	1
7		Not Set1	 09/06/2025     13:04:13	1
4		Not Set1	 09/06/2025     16:59:44	1
11		Not Set1	 09/06/2025     17:00:03	1
14		Not Set1	 09/06/2025     17:00:07	1
3		Not Set1	 09/06/2025     17:00:14	1
13		Not Set1	 09/06/2025     17:00:29	1
7		Not Set1	 09/06/2025     17:00:41	1
9		Not Set1	 09/06/2025     17:00:51	1
10		Not Set1	 09/06/2025     17:01:06	1
3		Not Set1	 10/06/2025     06:54:20	1
4		Not Set1	 10/06/2025     06:54:29	1
13		Not Set1	 10/06/2025     06:54:39	1
10		Not Set1	 10/06/2025     06:55:00	1
14		Not Set1	 10/06/2025     06:55:11	1
9		Not Set1	 10/06/2025     06:56:53	1
11		Not Set1	 10/06/2025     06:57:00	1
7		Not Set1	 10/06/2025     07:57:50	1
15		Not Set1	 10/06/2025     09:05:55	1
14		Not Set1	 10/06/2025     12:00:34	1
11		Not Set1	 10/06/2025     12:00:42	1
4		Not Set1	 10/06/2025     12:00:51	1
15		Not Set1	 10/06/2025     12:00:55	1
13		Not Set1	 10/06/2025     12:01:04	1
9		Not Set1	 10/06/2025     12:01:17	1
10		Not Set1	 10/06/2025     12:01:24	1
3		Not Set1	 10/06/2025     12:01:40	1
15		Not Set1	 10/06/2025     12:56:29	1
13		Not Set1	 10/06/2025     12:56:35	1
4		Not Set1	 10/06/2025     12:56:47	1
10		Not Set1	 10/06/2025     12:56:58	1
11		Not Set1	 10/06/2025     13:00:01	1
3		Not Set1	 10/06/2025     13:00:11	1
9		Not Set1	 10/06/2025     13:00:21	1
14		Not Set1	 10/06/2025     13:00:50	1
7		Not Set1	 10/06/2025     13:06:50	1
7		Not Set1	 10/06/2025     16:59:09	1
4		Not Set1	 10/06/2025     16:59:16	1
3		Not Set1	 10/06/2025     16:59:23	1
13		Not Set1	 10/06/2025     17:00:22	1
14		Not Set1	 10/06/2025     17:00:42	1
11		Not Set1	 10/06/2025     17:00:50	1
9		Not Set1	 10/06/2025     17:01:01	1
10		Not Set1	 10/06/2025     17:01:22	1
13		Not Set1	 11/06/2025     06:54:11	1
10		Not Set1	 11/06/2025     06:54:22	1
15		Not Set1	 11/06/2025     06:54:30	1
11		Not Set1	 11/06/2025     06:54:41	1
14		Not Set1	 11/06/2025     06:58:08	1
3		Not Set1	 11/06/2025     06:58:39	1
9		Not Set1	 11/06/2025     07:09:28	1
7		Not Set1	 11/06/2025     07:44:12	1
7		Not Set1	 11/06/2025     11:57:33	1
15		Not Set1	 11/06/2025     11:58:56	1
3		Not Set1	 11/06/2025     11:59:06	1
14		Not Set1	 11/06/2025     12:00:02	1
9		Not Set1	 11/06/2025     12:00:43	1
11		Not Set1	 11/06/2025     12:00:52	1
13		Not Set1	 11/06/2025     12:01:07	1
10		Not Set1	 11/06/2025     12:01:25	1
13		Not Set1	 11/06/2025     12:54:56	1
14		Not Set1	 11/06/2025     12:55:12	1
10		Not Set1	 11/06/2025     12:55:46	1
15		Not Set1	 11/06/2025     12:55:52	1
11		Not Set1	 11/06/2025     12:58:36	1
3		Not Set1	 11/06/2025     13:00:12	1
9		Not Set1	 11/06/2025     13:00:30	1
7		Not Set1	 11/06/2025     13:08:46	1
15		Not Set1	 11/06/2025     16:58:36	1
13		Not Set1	 11/06/2025     17:00:17	1
10		Not Set1	 11/06/2025     17:00:23	1
14		Not Set1	 11/06/2025     17:00:28	1
7		Not Set1	 11/06/2025     17:00:41	1
11		Not Set1	 11/06/2025     17:00:49	1
3		Not Set1	 11/06/2025     17:00:54	1
9		Not Set1	 11/06/2025     17:02:01	1
4		Not Set1	 12/06/2025     06:55:17	1
3		Not Set1	 12/06/2025     06:55:32	1
13		Not Set1	 12/06/2025     06:56:05	1
14		Not Set1	 12/06/2025     06:56:13	1
10		Not Set1	 12/06/2025     06:56:30	1
9		Not Set1	 12/06/2025     06:56:41	1
15		Not Set1	 12/06/2025     06:56:48	1
11		Not Set1	 12/06/2025     06:56:54	1
7		Not Set1	 12/06/2025     07:29:27	1
7		Not Set1	 12/06/2025     11:59:50	1
4		Not Set1	 12/06/2025     11:59:58	1
15		Not Set1	 12/06/2025     12:00:05	1
14		Not Set1	 12/06/2025     12:00:10	1
9		Not Set1	 12/06/2025     12:00:32	1
13		Not Set1	 12/06/2025     12:00:41	1
11		Not Set1	 12/06/2025     12:00:45	1
3		Not Set1	 12/06/2025     12:00:52	1
10		Not Set1	 12/06/2025     12:00:58	1
14		Not Set1	 12/06/2025     12:54:39	1
4		Not Set1	 12/06/2025     12:55:01	1
13		Not Set1	 12/06/2025     12:55:23	1
10		Not Set1	 12/06/2025     12:55:42	1
15		Not Set1	 12/06/2025     12:55:48	1
9		Not Set1	 12/06/2025     12:57:20	1
11		Not Set1	 12/06/2025     12:57:36	1
3		Not Set1	 12/06/2025     12:58:55	1
7		Not Set1	 12/06/2025     13:11:40	1
13		Not Set1	 12/06/2025     16:58:55	1
15		Not Set1	 12/06/2025     16:59:59	1
4		Not Set1	 12/06/2025     17:00:04	1
14		Not Set1	 12/06/2025     17:00:10	1
3		Not Set1	 12/06/2025     17:00:18	1
9		Not Set1	 12/06/2025     17:00:32	1
11		Not Set1	 12/06/2025     17:00:41	1
7		Not Set1	 12/06/2025     17:00:47	1
10		Not Set1	 12/06/2025     17:00:52	1
4		Not Set1	 13/06/2025     06:55:03	1
10		Not Set1	 13/06/2025     06:55:12	1
14		Not Set1	 13/06/2025     06:55:20	1
13		Not Set1	 13/06/2025     06:55:25	1
11		Not Set1	 13/06/2025     06:55:45	1
9		Not Set1	 13/06/2025     06:56:00	1
3		Not Set1	 13/06/2025     06:56:10	1
15		Not Set1	 13/06/2025     06:56:33	1
7		Not Set1	 13/06/2025     07:31:20	1
7		Not Set1	 13/06/2025     11:59:13	1
15		Not Set1	 13/06/2025     11:59:21	1
4		Not Set1	 13/06/2025     11:59:36	1
11		Not Set1	 13/06/2025     12:00:35	1
3		Not Set1	 13/06/2025     12:00:40	1
9		Not Set1	 13/06/2025     12:01:35	1
14		Not Set1	 13/06/2025     12:01:49	1
13		Not Set1	 13/06/2025     12:01:58	1
10		Not Set1	 13/06/2025     12:02:04	1
10		Not Set1	 13/06/2025     12:55:43	1
11		Not Set1	 13/06/2025     12:56:12	1
9		Not Set1	 13/06/2025     12:56:23	1
4		Not Set1	 13/06/2025     12:56:33	1
13		Not Set1	 13/06/2025     12:56:50	1
15		Not Set1	 13/06/2025     12:56:57	1
14		Not Set1	 13/06/2025     12:57:03	1
3		Not Set1	 13/06/2025     12:57:43	1
7		Not Set1	 13/06/2025     13:11:46	1
7		Not Set1	 13/06/2025     14:56:45	1
15		Not Set1	 13/06/2025     14:58:16	1
4		Not Set1	 13/06/2025     14:58:29	1
14		Not Set1	 13/06/2025     15:00:03	1
13		Not Set1	 13/06/2025     15:00:09	1
9		Not Set1	 13/06/2025     15:00:19	1
11		Not Set1	 13/06/2025     15:00:27	1
10		Not Set1	 13/06/2025     15:00:34	1
3		Not Set1	 13/06/2025     15:00:44	1
10		Not Set1	 16/06/2025     06:54:35	1
14		Not Set1	 16/06/2025     06:54:50	1
11		Not Set1	 16/06/2025     06:55:05	1
4		Not Set1	 16/06/2025     06:55:12	1
3		Not Set1	 16/06/2025     06:55:21	1
15		Not Set1	 16/06/2025     06:55:31	1
13		Not Set1	 16/06/2025     06:55:52	1
9		Not Set1	 16/06/2025     07:01:13	1
7		Not Set1	 16/06/2025     07:34:12	1
4		Not Set1	 16/06/2025     11:59:31	1
7		Not Set1	 16/06/2025     11:59:47	1
15		Not Set1	 16/06/2025     11:59:56	1
14		Not Set1	 16/06/2025     12:00:04	1
9		Not Set1	 16/06/2025     12:00:12	1
10		Not Set1	 16/06/2025     12:00:29	1
11		Not Set1	 16/06/2025     12:00:39	1
13		Not Set1	 16/06/2025     12:01:01	1
14		Not Set1	 16/06/2025     12:56:07	1
4		Not Set1	 16/06/2025     12:56:33	1
10		Not Set1	 16/06/2025     12:56:51	1
13		Not Set1	 16/06/2025     12:57:19	1
15		Not Set1	 16/06/2025     12:57:30	1
3		Not Set1	 16/06/2025     12:57:43	1
9		Not Set1	 16/06/2025     12:59:39	1
11		Not Set1	 16/06/2025     12:59:45	1
7		Not Set1	 16/06/2025     13:13:22	1
4		Not Set1	 16/06/2025     16:59:28	1
15		Not Set1	 16/06/2025     16:59:40	1
14		Not Set1	 16/06/2025     17:00:06	1
9		Not Set1	 16/06/2025     17:00:17	1
7		Not Set1	 16/06/2025     17:00:28	1
13		Not Set1	 16/06/2025     17:00:35	1
3		Not Set1	 16/06/2025     17:00:43	1
11		Not Set1	 16/06/2025     17:00:52	1
10		Not Set1	 16/06/2025     17:01:05	1
14		Not Set1	 17/06/2025     06:55:37	1
13		Not Set1	 17/06/2025     06:55:51	1
4		Not Set1	 17/06/2025     06:55:59	1
15		Not Set1	 17/06/2025     06:56:07	1
10		Not Set1	 17/06/2025     06:56:16	1
11		Not Set1	 17/06/2025     06:56:21	1
9		Not Set1	 17/06/2025     06:56:50	1
3		Not Set1	 17/06/2025     06:57:03	1
7		Not Set1	 17/06/2025     07:41:21	1
7		Not Set1	 17/06/2025     11:59:21	1
15		Not Set1	 17/06/2025     11:59:27	1
4		Not Set1	 17/06/2025     11:59:35	1
3		Not Set1	 17/06/2025     12:00:19	1
14		Not Set1	 17/06/2025     12:00:24	1
10		Not Set1	 17/06/2025     12:00:30	1
11		Not Set1	 17/06/2025     12:00:44	1
9		Not Set1	 17/06/2025     12:00:52	1
13		Not Set1	 17/06/2025     12:01:02	1
14		Not Set1	 17/06/2025     12:54:31	1
10		Not Set1	 17/06/2025     12:55:59	1
4		Not Set1	 17/06/2025     12:56:21	1
13		Not Set1	 17/06/2025     12:56:33	1
15		Not Set1	 17/06/2025     12:56:40	1
3		Not Set1	 17/06/2025     12:57:00	1
11		Not Set1	 17/06/2025     12:57:12	1
9		Not Set1	 17/06/2025     12:59:04	1
